user_id,book_titles,authors,num_books_rated,ratings,book_paths,is_aligned,num_missing_files,missing_files
14,a farewell to arms;anna karenina;great expectations;macbeth;main street;palimpsest;swan song;the adventures of jimmy skunk;the blue flower;the children on the top floor;the garden of eden;the great gatsby;the hound of the baskervilles;the idiot;the picture of dorian gray;the tale of genji;the terror;the three musketeers;the wind in the willows;wuthering heights,"hemingway, ernest;tolstoy, leo;dickens, charles;shakespeare, william;lewis, sinclair;aycock, roger d.;chekhov, anton pavlovich;burgess, thornton w. (thornton waldo);van dyke, henry;rhoades, nina;brand, max;fitzgerald, f. scott (francis scott);doyle, arthur conan;bangs, john kendrick;wilde, oscar;murasaki shikibu;coppel, alfred;dumas, alexandre;grahame, kenneth;brontã«, emily",20,4.0;5.0;4.0;4.5;5.0;4.0;4.0;4.0;5.0;5.0;5.0;4.0;5.0;5.0;4.0;5.0;3.0;4.0;4.0;5.0,book_texts/75201.txt;book_texts/1399.txt;book_texts/1400.txt;book_texts/1533.txt;book_texts/543.txt;book_texts/63990.txt;book_texts/1753.txt;book_texts/21015.txt;book_texts/1603.txt;book_texts/32279.txt;book_texts/33066.txt;book_texts/64317.txt;book_texts/2852.txt;book_texts/18881.txt;book_texts/174.txt;book_texts/66057.txt;book_texts/70361.txt;book_texts/1257.txt;book_texts/289.txt;book_texts/768.txt,True,0,
15,julius caesar;king lear;much ado about nothing;othello;the castle of otranto;the gambler;the idiot;the sun also rises;the tale of genji;the turn of the screw;twelfth night;ulysses,"shakespeare, william;shakespeare, william;shakespeare, william;shakespeare, william;walpole, horace;dostoyevsky, fyodor;bangs, john kendrick;hemingway, ernest;murasaki shikibu;james, henry;shakespeare, william;joyce, james",12,3.0;3.0;3.6666666666666665;2.6666666666666665;2.0;2.0;4.0;2.6666666666666665;4.0;4.0;4.0;2.5,book_texts/1120.txt;book_texts/1128.txt;book_texts/1118.txt;book_texts/1127.txt;book_texts/696.txt;book_texts/2197.txt;book_texts/18881.txt;book_texts/67138.txt;book_texts/66057.txt;book_texts/209.txt;book_texts/1123.txt;book_texts/4300.txt,True,0,
28,anna karenina;cyrano de bergerac;great expectations;palimpsest;the awakening;the brothers karamazov;the idiot;the plague;the possessed;the stranger;the tale of genji;the terror;the wind in the willows,"tolstoy, leo;rostand, edmond;dickens, charles;aycock, roger d.;bordeaux, henry;dostoyevsky, fyodor;bangs, john kendrick;keller, teddy;dostoyevsky, fyodor;dickson, gordon r.;murasaki shikibu;coppel, alfred;grahame, kenneth",13,4.5;3.0;4.0;5.0;4.0;3.0;3.0;3.0;3.0;3.0;2.0;5.0;3.0,book_texts/1399.txt;book_texts/1254.txt;book_texts/1400.txt;book_texts/63990.txt;book_texts/70440.txt;book_texts/28054.txt;book_texts/18881.txt;book_texts/30062.txt;book_texts/8117.txt;book_texts/65839.txt;book_texts/66057.txt;book_texts/70361.txt;book_texts/289.txt,True,0,
30,a tale of two cities;anna karenina;dracula;heart of darkness;my ntonia;steppenwolf;the brothers karamazov;the queens necklace;the sorrows of young werther;the sound and the fury;the stranger;the sword of welleran and other stories;twelfth night,"dickens, charles;tolstoy, leo;stoker, bram;conrad, joseph;cather, willa;hesse, hermann;dostoyevsky, fyodor;dumas, alexandre;goethe, johann wolfgang von;faulkner, william;dickson, gordon r.;dunsany;shakespeare, william",13,1.0;4.0;4.5;5.0;4.0;4.0;4.0;3.0;3.0;3.0;4.5;4.0;5.0,book_texts/98.txt;book_texts/1399.txt;book_texts/345.txt;book_texts/219.txt;book_texts/242.txt;book_texts/75756.txt;book_texts/28054.txt;book_texts/20122.txt;book_texts/2527.txt;book_texts/75170.txt;book_texts/65839.txt;book_texts/10806.txt;book_texts/1123.txt,True,0,
34,a midsummer nights dream;after dark;crime and punishment;gargantua and pantagruel;great expectations;jill the reckless;maxims and reflections;oliver twist;romeo and juliet;the brothers karamazov;the house of mirth;the real thing;war and peace,"shakespeare, william;collins, wilkie;dostoyevsky, fyodor;rabelais, franã§ois;dickens, charles;wodehouse, p. g. (pelham grenville);goethe, johann wolfgang von;dickens, charles;shakespeare, william;dostoyevsky, fyodor;wharton, edith;teichner, albert;tolstoy, leo",13,5.0;3.0;5.0;4.5;2.0;3.0;4.0;4.0;4.5;4.0;4.0;5.0;4.0,book_texts/1113.txt;book_texts/1626.txt;book_texts/2554.txt;book_texts/1200.txt;book_texts/1400.txt;book_texts/20533.txt;book_texts/33670.txt;book_texts/730.txt;book_texts/1112.txt;book_texts/28054.txt;book_texts/284.txt;book_texts/61288.txt;book_texts/2600.txt,True,0,
66,a midsummer nights dream;emma;pride and prejudice;the poet;the tale of genji;the time machine;the turn of the screw;under the lilacs,"shakespeare, william;austen, jane;austen, jane;nicholson, meredith;murasaki shikibu;wells, h. g. (herbert george);james, henry;alcott, louisa may",8,5.0;4.0;4.0;4.0;4.0;3.0;5.0;4.0,book_texts/1113.txt;book_texts/158.txt;book_texts/1342.txt;book_texts/62821.txt;book_texts/66057.txt;book_texts/35.txt;book_texts/209.txt;book_texts/3795.txt,True,0,
75,a midsummer nights dream;billy budd;experience;main street;swan song;the brothers karamazov;the idiot;the tale of genji;the terror,"shakespeare, william;melville, herman;cotton, catherine (catherine m.);lewis, sinclair;chekhov, anton pavlovich;dostoyevsky, fyodor;bangs, john kendrick;murasaki shikibu;coppel, alfred",9,5.0;4.0;4.0;5.0;3.0;4.0;5.0;3.5;4.0,book_texts/1113.txt;book_texts/76513.txt;book_texts/49400.txt;book_texts/543.txt;book_texts/1753.txt;book_texts/28054.txt;book_texts/18881.txt;book_texts/66057.txt;book_texts/70361.txt,True,0,
97,a midsummer nights dream;east of eden;empire;persuasion;the custom of the country;the secret garden;the terror;the woman in white,"shakespeare, william;glenn, isa;simak, clifford d.;austen, jane;wharton, edith;burnett, frances hodgson;coppel, alfred;collins, wilkie",8,5.0;4.0;2.0;5.0;4.0;4.0;5.0;4.0,book_texts/1113.txt;book_texts/75781.txt;book_texts/28215.txt;book_texts/105.txt;book_texts/11052.txt;book_texts/113.txt;book_texts/70361.txt;book_texts/583.txt,True,0,
117,bleak house;far from the madding crowd;little dorrit;murder at the vicarage;our mutual friend;second chance;the professor;to have and to hold;villette,"dickens, charles;hardy, thomas;dickens, charles;christie, agatha;dickens, charles;hoskins, robert;brontã«, charlotte;johnston, mary;brontã«, charlotte",9,4.0;4.5;3.0;3.0;3.0;4.0;3.0;4.0;4.0,book_texts/1023.txt;book_texts/27.txt;book_texts/963.txt;book_texts/78220.txt;book_texts/883.txt;book_texts/72191.txt;book_texts/1028.txt;book_texts/2807.txt;book_texts/9182.txt,True,0,
142,a midsummer nights dream;emma;sense and sensibility;siddhartha;the adventures of sherlock holmes;the idiot;the tale of genji;treasure island;vanity fair,"shakespeare, william;austen, jane;austen, jane;hesse, hermann;doyle, arthur conan;bangs, john kendrick;murasaki shikibu;stevenson, robert louis;thackeray, william makepeace",9,4.0;4.0;2.0;4.0;5.0;3.0;4.0;4.0;4.333333333333333,book_texts/1113.txt;book_texts/158.txt;book_texts/161.txt;book_texts/2500.txt;book_texts/1661.txt;book_texts/18881.txt;book_texts/66057.txt;book_texts/120.txt;book_texts/599.txt,True,0,
