user_id,num_books_rated,gutenberg_ids,goodreads_book_keys,ratings
14,21,75201;1399;1400;9272;1533;543;63990;1753;21015;1603;32279;33066;64317;2852;18881;174;66057;70361;1257;289;768,"a farewell to arms||hemingway, ernest;anna karenina||tolstoy, leo;great expectations||dickens, charles;gullivers travels||swift, jonathan;macbeth||shakespeare, william;main street||lewis, sinclair;palimpsest||aycock, roger d.;swan song||chekhov, anton pavlovich;the adventures of jimmy skunk||burgess, thornton w. (thornton waldo);the blue flower||van dyke, henry;the children on the top floor||rhoades, nina;the garden of eden||brand, max;the great gatsby||fitzgerald, f. scott (francis scott);the hound of the baskervilles||doyle, arthur conan;the idiot||bangs, john kendrick;the picture of dorian gray||wilde, oscar;the tale of genji||murasaki shikibu;the terror||coppel, alfred;the three musketeers||dumas, alexandre;the wind in the willows||grahame, kenneth;wuthering heights||brontã«, emily",4.0;5.0;4.0;5.0;4.5;5.0;4.0;4.0;4.0;5.0;5.0;5.0;4.0;5.0;5.0;4.0;5.0;3.0;4.0;4.0;5.0
15,12,1120;1128;1118;1127;696;2197;18881;67138;66057;209;1123;4300,"julius caesar||shakespeare, william;king lear||shakespeare, william;much ado about nothing||shakespeare, william;othello||shakespeare, william;the castle of otranto||walpole, horace;the gambler||dostoyevsky, fyodor;the idiot||bangs, john kendrick;the sun also rises||hemingway, ernest;the tale of genji||murasaki shikibu;the turn of the screw||james, henry;twelfth night||shakespeare, william;ulysses||joyce, james",3.0;3.0;3.6666666666666665;2.6666666666666665;2.0;2.0;4.0;2.6666666666666665;4.0;4.0;4.0;2.5
28,13,1399;1254;1400;63990;70440;28054;18881;30062;8117;65839;66057;70361;289,"anna karenina||tolstoy, leo;cyrano de bergerac||rostand, edmond;great expectations||dickens, charles;palimpsest||aycock, roger d.;the awakening||bordeaux, henry;the brothers karamazov||dostoyevsky, fyodor;the idiot||bangs, john kendrick;the plague||keller, teddy;the possessed||dostoyevsky, fyodor;the stranger||dickson, gordon r.;the tale of genji||murasaki shikibu;the terror||coppel, alfred;the wind in the willows||grahame, kenneth",4.5;3.0;4.0;5.0;4.0;3.0;3.0;3.0;3.0;3.0;2.0;5.0;3.0
30,14,98;1399;345;219;242;75756;28054;26298;20122;2527;75170;65839;10806;1123,"a tale of two cities||dickens, charles;anna karenina||tolstoy, leo;dracula||stoker, bram;heart of darkness||conrad, joseph;my ntonia||cather, willa;steppenwolf||hesse, hermann;the brothers karamazov||dostoyevsky, fyodor;the metamorphosis||kafka, franz;the queens necklace||dumas, alexandre;the sorrows of young werther||goethe, johann wolfgang von;the sound and the fury||faulkner, william;the stranger||dickson, gordon r.;the sword of welleran and other stories||dunsany;twelfth night||shakespeare, william",1.0;4.0;4.5;5.0;4.0;4.0;4.0;5.0;3.0;3.0;3.0;4.5;4.0;5.0
34,13,1113;1626;2554;1200;1400;20533;33670;730;1112;28054;284;61288;2600,"a midsummer nights dream||shakespeare, william;after dark||collins, wilkie;crime and punishment||dostoyevsky, fyodor;gargantua and pantagruel||rabelais, franã§ois;great expectations||dickens, charles;jill the reckless||wodehouse, p. g. (pelham grenville);maxims and reflections||goethe, johann wolfgang von;oliver twist||dickens, charles;romeo and juliet||shakespeare, william;the brothers karamazov||dostoyevsky, fyodor;the house of mirth||wharton, edith;the real thing||teichner, albert;war and peace||tolstoy, leo",5.0;3.0;5.0;4.5;2.0;3.0;4.0;4.0;4.5;4.0;4.0;5.0;4.0
66,8,1113;158;1342;62821;66057;35;209;3795,"a midsummer nights dream||shakespeare, william;emma||austen, jane;pride and prejudice||austen, jane;the poet||nicholson, meredith;the tale of genji||murasaki shikibu;the time machine||wells, h. g. (herbert george);the turn of the screw||james, henry;under the lilacs||alcott, louisa may",5.0;4.0;4.0;4.0;4.0;3.0;5.0;4.0
75,10,1113;76513;49400;543;9687;1753;28054;18881;66057;70361,"a midsummer nights dream||shakespeare, william;billy budd||melville, herman;experience||cotton, catherine (catherine m.);main street||lewis, sinclair;robinson crusoe||defoe, daniel;swan song||chekhov, anton pavlovich;the brothers karamazov||dostoyevsky, fyodor;the idiot||bangs, john kendrick;the tale of genji||murasaki shikibu;the terror||coppel, alfred",5.0;4.0;4.0;5.0;3.5;3.0;4.0;5.0;3.5;4.0
97,9,1113;75781;28215;105;9687;11052;113;70361;583,"a midsummer nights dream||shakespeare, william;east of eden||glenn, isa;empire||simak, clifford d.;persuasion||austen, jane;robinson crusoe||defoe, daniel;the custom of the country||wharton, edith;the secret garden||burnett, frances hodgson;the terror||coppel, alfred;the woman in white||collins, wilkie",5.0;4.0;2.0;5.0;3.0;4.0;4.0;5.0;4.0
117,11,1023;27;9272;23077;963;78220;883;72191;1028;2807;9182,"bleak house||dickens, charles;far from the madding crowd||hardy, thomas;gullivers travels||swift, jonathan;jane eyre||brontã«, charlotte;little dorrit||dickens, charles;murder at the vicarage||christie, agatha;our mutual friend||dickens, charles;second chance||hoskins, robert;the professor||brontã«, charlotte;to have and to hold||johnston, mary;villette||brontã«, charlotte",4.0;4.5;3.0;5.0;3.0;3.0;3.0;4.0;3.0;4.0;4.0
132,8,1399;28215;9038;28054;37536;75170;120;1123,"anna karenina||tolstoy, leo;empire||simak, clifford d.;the adventures of tom sawyer||twain, mark;the brothers karamazov||dostoyevsky, fyodor;the house of the dead||dostoyevsky, fyodor;the sound and the fury||faulkner, william;treasure island||stevenson, robert louis;twelfth night||shakespeare, william",4.0;4.0;5.0;4.0;4.0;3.0;3.0;5.0
